[2018-03-31 13:31:58] Downloading update (81,854 of 275,424 KB)...
[2018-03-31 13:31:58] Downloading update (82,066 of 275,424 KB)...
[2018-03-31 13:31:58] Downloading update (82,444 of 275,424 KB)...
[2018-03-31 13:31:58] Downloading update (82,828 of 275,424 KB)...
[2018-03-31 13:31:59] Downloading update (83,301 of 275,424 KB)...
[2018-03-31 13:31:59] Downloading update (83,766 of 275,424 KB)...
[2018-03-31 13:31:59] Downloading update (84,133 of 275,424 KB)...
[2018-03-31 13:31:59] Downloading update (84,490 of 275,424 KB)...
[2018-03-31 13:32:00] Downloading update (84,819 of 275,424 KB)...
[2018-03-31 13:32:00] Downloading update (85,173 of 275,424 KB)...
[2018-03-31 13:32:00] Downloading update (85,408 of 275,424 KB)...
[2018-03-31 13:32:00] Downloading update (85,515 of 275,424 KB)...
[2018-03-31 13:32:01] Downloading update (85,716 of 275,424 KB)...
[2018-03-31 13:32:01] Downloading update (86,106 of 275,424 KB)...
[2018-03-31 13:32:01] Downloading update (86,506 of 275,424 KB)...
[2018-03-31 13:32:01] Downloading update (86,952 of 275,424 KB)...
[2018-03-31 13:32:02] Downloading update (87,250 of 275,424 KB)...
[2018-03-31 13:32:02] Downloading update (87,477 of 275,424 KB)...
[2018-03-31 13:32:02] Downloading update (87,905 of 275,424 KB)...
[2018-03-31 13:32:02] Downloading update (88,337 of 275,424 KB)...
[2018-03-31 13:32:03] Downloading update (88,798 of 275,424 KB)...
[2018-03-31 13:32:03] Downloading update (89,264 of 275,424 KB)...
[2018-03-31 13:32:03] Downloading update (89,652 of 275,424 KB)...
[2018-03-31 13:32:03] Downloading update (90,146 of 275,424 KB)...
[2018-03-31 13:32:04] Downloading update (90,610 of 275,424 KB)...
[2018-03-31 13:32:04] Downloading update (91,181 of 275,424 KB)...
[2018-03-31 13:32:04] Downloading update (91,722 of 275,424 KB)...
[2018-03-31 13:32:04] Downloading update (92,269 of 275,424 KB)...
[2018-03-31 13:32:05] Downloading update (92,825 of 275,424 KB)...
[2018-03-31 13:32:05] Downloading update (93,533 of 275,424 KB)...
[2018-03-31 13:32:05] Downloading update (94,041 of 275,424 KB)...
[2018-03-31 13:32:05] Downloading update (94,595 of 275,424 KB)...
[2018-03-31 13:32:06] Downloading update (95,147 of 275,424 KB)...
[2018-03-31 13:32:06] Downloading update (95,709 of 275,424 KB)...
[2018-03-31 13:32:06] Downloading update (96,301 of 275,424 KB)...
[2018-03-31 13:32:06] Downloading update (96,815 of 275,424 KB)...
[2018-03-31 13:32:07] Downloading update (97,273 of 275,424 KB)...
[2018-03-31 13:32:07] Downloading update (97,885 of 275,424 KB)...
[2018-03-31 13:32:07] Downloading update (98,425 of 275,424 KB)...
[2018-03-31 13:32:07] Downloading update (98,981 of 275,424 KB)...
[2018-03-31 13:32:08] Downloading update (99,620 of 275,424 KB)...
[2018-03-31 13:32:08] Downloading update (100,155 of 275,424 KB)...
[2018-03-31 13:32:08] Downloading update (100,661 of 275,424 KB)...
[2018-03-31 13:32:08] Downloading update (101,204 of 275,424 KB)...
[2018-03-31 13:32:09] Downloading update (101,750 of 275,424 KB)...
[2018-03-31 13:32:09] Downloading update (102,259 of 275,424 KB)...
[2018-03-31 13:32:09] Downloading update (102,837 of 275,424 KB)...
[2018-03-31 13:32:09] Downloading update (103,363 of 275,424 KB)...
[2018-03-31 13:32:10] Downloading update (103,849 of 275,424 KB)...
[2018-03-31 13:32:10] Downloading update (104,326 of 275,424 KB)...
[2018-03-31 13:32:10] Downloading update (104,838 of 275,424 KB)...
[2018-03-31 13:32:10] Downloading update (105,333 of 275,424 KB)...
[2018-03-31 13:32:11] Downloading update (105,831 of 275,424 KB)...
[2018-03-31 13:32:11] Downloading update (106,381 of 275,424 KB)...
[2018-03-31 13:32:11] Downloading update (106,913 of 275,424 KB)...
[2018-03-31 13:32:11] Downloading update (107,442 of 275,424 KB)...
[2018-03-31 13:32:12] Downloading update (107,986 of 275,424 KB)...
[2018-03-31 13:32:12] Downloading update (108,367 of 275,424 KB)...
[2018-03-31 13:32:12] Downloading update (108,840 of 275,424 KB)...
[2018-03-31 13:32:12] Downloading update (109,311 of 275,424 KB)...
[2018-03-31 13:32:13] Downloading update (109,729 of 275,424 KB)...
[2018-03-31 13:32:13] Downloading update (110,231 of 275,424 KB)...
[2018-03-31 13:32:13] Downloading update (110,671 of 275,424 KB)...
[2018-03-31 13:32:14] Downloading update (111,184 of 275,424 KB)...
[2018-03-31 13:32:14] Downloading update (111,893 of 275,424 KB)...
[2018-03-31 13:32:14] Downloading update (112,391 of 275,424 KB)...
[2018-03-31 13:32:14] Downloading update (112,877 of 275,424 KB)...
[2018-03-31 13:32:15] Downloading update (113,329 of 275,424 KB)...
[2018-03-31 13:32:15] Downloading update (113,856 of 275,424 KB)...
[2018-03-31 13:32:15] Downloading update (114,347 of 275,424 KB)...
[2018-03-31 13:32:15] Downloading update (114,856 of 275,424 KB)...
[2018-03-31 13:32:16] Downloading update (115,461 of 275,424 KB)...
[2018-03-31 13:32:16] Downloading update (115,870 of 275,424 KB)...
[2018-03-31 13:32:16] Downloading update (116,308 of 275,424 KB)...
[2018-03-31 13:32:16] Downloading update (116,816 of 275,424 KB)...
[2018-03-31 13:32:17] Downloading update (117,334 of 275,424 KB)...
[2018-03-31 13:32:17] Downloading update (117,864 of 275,424 KB)...
[2018-03-31 13:32:17] Downloading update (118,430 of 275,424 KB)...
[2018-03-31 13:32:17] Downloading update (118,930 of 275,424 KB)...
[2018-03-31 13:32:18] Downloading update (119,522 of 275,424 KB)...
[2018-03-31 13:32:18] Downloading update (120,016 of 275,424 KB)...
[2018-03-31 13:32:18] Downloading update (120,441 of 275,424 KB)...
[2018-03-31 13:32:18] Downloading update (120,962 of 275,424 KB)...
[2018-03-31 13:32:19] Downloading update (121,451 of 275,424 KB)...
[2018-03-31 13:32:19] Downloading update (121,958 of 275,424 KB)...
[2018-03-31 13:32:19] Downloading update (122,441 of 275,424 KB)...
[2018-03-31 13:32:19] Downloading update (122,934 of 275,424 KB)...
[2018-03-31 13:32:20] Downloading update (123,499 of 275,424 KB)...
[2018-03-31 13:32:20] Downloading update (124,036 of 275,424 KB)...
[2018-03-31 13:32:20] Downloading update (124,607 of 275,424 KB)...
[2018-03-31 13:33:21] Downloading update (125,728 of 275,424 KB)...
[2018-03-31 13:33:21] Downloading update (125,937 of 275,424 KB)...
[2018-03-31 13:33:22] Downloading update (126,443 of 275,424 KB)...
[2018-03-31 13:33:22] Downloading update (126,872 of 275,424 KB)...
[2018-03-31 13:33:22] Downloading update (127,386 of 275,424 KB)...
[2018-03-31 13:33:22] Downloading update (127,874 of 275,424 KB)...
[2018-03-31 13:33:23] Error: Download of package (tenfoot_images_all) failed after 0 bytes (200).
[2018-03-31 13:33:23] Error: Download of package (runtime_part1_ubuntu12) failed after 0 bytes (200).
[2018-03-31 13:33:23] Downloading update (87,017 of 275,424 KB)...
[2018-03-31 13:33:23] Error: Download of package (bins_ubuntu12) failed after 0 bytes (200).
[2018-03-31 13:33:23] Downloading update (82,735 of 275,424 KB)...
[2018-03-31 13:33:23] Downloading update (83,265 of 275,424 KB)...
[2018-03-31 13:33:23] Downloading update (83,883 of 275,424 KB)...
[2018-03-31 13:33:24] Downloading update (84,426 of 275,424 KB)...
[2018-03-31 13:33:24] Downloading update (85,075 of 275,424 KB)...
[2018-03-31 13:33:24] Downloading update (85,624 of 275,424 KB)...
[2018-03-31 13:33:24] Downloading update (86,256 of 275,424 KB)...
[2018-03-31 13:33:25] Downloading update (86,811 of 275,424 KB)...
[2018-03-31 13:33:25] Downloading update (87,447 of 275,424 KB)...
[2018-03-31 13:33:25] Downloading update (88,011 of 275,424 KB)...
[2018-03-31 13:33:25] Downloading update (88,603 of 275,424 KB)...
[2018-03-31 13:33:26] Downloading update (89,134 of 275,424 KB)...
[2018-03-31 13:33:26] Downloading update (89,682 of 275,424 KB)...
[2018-03-31 13:33:26] Downloading update (90,233 of 275,424 KB)...
[2018-03-31 13:33:26] Downloading update (90,672 of 275,424 KB)...
[2018-03-31 13:33:27] Downloading update (91,100 of 275,424 KB)...
[2018-03-31 13:33:27] Downloading update (91,637 of 275,424 KB)...
[2018-03-31 13:33:27] Downloading update (92,183 of 275,424 KB)...
[2018-03-31 13:33:27] Downloading update (92,672 of 275,424 KB)...
[2018-03-31 13:33:28] Downloading update (93,244 of 275,424 KB)...
[2018-03-31 13:33:28] Downloading update (93,741 of 275,424 KB)...
[2018-03-31 13:33:28] Downloading update (94,263 of 275,424 KB)...
[2018-03-31 13:33:28] Downloading update (94,736 of 275,424 KB)...
[2018-03-31 13:33:29] Downloading update (95,226 of 275,424 KB)...
[2018-03-31 13:33:29] Downloading update (95,710 of 275,424 KB)...
[2018-03-31 13:33:29] Downloading update (96,243 of 275,424 KB)...
[2018-03-31 13:33:29] Downloading update (96,649 of 275,424 KB)...
[2018-03-31 13:33:30] Downloading update (96,940 of 275,424 KB)...
[2018-03-31 13:33:30] Downloading update (97,494 of 275,424 KB)...
